code,start,end,rain_gauge_mm,rain_idw_mm,VWC_005_before,VWC_005_delta_next,VWC_005_peak3_delta,VWC_020_before,VWC_020_delta_next,VWC_020_peak3_delta,VWC_050_before,VWC_050_delta_next,VWC_050_peak3_delta,idw_hg_one_total_before_pct,idw_hg_one_total_delta_next_pp,idw_hg_one_total_peak3_delta_pp,idw_hg_surface_lower_before_pct,idw_hg_surface_lower_delta_next_pp,idw_hg_surface_lower_peak3_delta_pp,idw_pm_one_total_before_pct,idw_pm_one_total_delta_next_pp,idw_pm_one_total_peak3_delta_pp,idw_pm_surface_lower_before_pct,idw_pm_surface_lower_delta_next_pp,idw_pm_surface_lower_peak3_delta_pp,gauge_hg_one_total_before_pct,gauge_hg_one_total_delta_next_pp,gauge_hg_one_total_peak3_delta_pp,gauge_hg_surface_lower_before_pct,gauge_hg_surface_lower_delta_next_pp,gauge_hg_surface_lower_peak3_delta_pp,gauge_pm_one_total_before_pct,gauge_pm_one_total_delta_next_pp,gauge_pm_one_total_peak3_delta_pp,gauge_pm_surface_lower_before_pct,gauge_pm_surface_lower_delta_next_pp,gauge_pm_surface_lower_peak3_delta_pp
SCA,2026-08-24,2026-08-24,40.00000000000001,25.585621413739133,0.16270833333333334,0.0035833333333332995,0.01529166666666662,0.24227083333333332,0.046999999999999986,0.046999999999999986,0.2697083333333334,0.01924999999999999,0.02268749999999997,7.290967960551145,37.82581001105003,37.82581001105003,9.740325359362185e-05,26.199127331687837,26.199127331687837,7.050488894604387,38.73197247555351,38.73197247555351,7.284071389338638e-05,26.35177419975446,26.35177419975446,16.2653522718895,62.74270402357334,62.74270402357334,9.740325359362185e-05,75.35431422483533,75.35431422483533,15.807562687410469,63.926928850650214,63.926928850650214,7.284071389338638e-05,75.2766627165185,75.2766627165185
CMN,2026-08-06,2026-08-09,13.2,11.189958824157218,0.07966666666666668,0.0006041666666666695,0.0025416666666666643,0.07075,-0.0001666666666666483,0.0005833333333333385,0.06895833333333334,-0.0009583333333333388,-0.0009583333333333388,12.767260334308292,3.5971294930608817,3.5971294930608817,0.00011419451303785395,-5.3506793947290486e-05,-5.3506793947290486e-05,13.427533804071896,4.385873440872761,4.385873440872761,0.00025216847620364725,-0.00011022187326333784,-0.00011022187326333784,,,,,,,,,,,,
CMN,2026-08-20,2026-08-20,8.7,1.4440447674445267,0.0850625,-0.0011458333333333182,-0.0011458333333333182,0.07216666666666667,-0.0001875000000000071,-0.0001875000000000071,0.067875,0.0001250000000000001,0.0001250000000000001,5.350096589357184,4.182554729300682,4.182554729300682,2.1273788642664473e-05,-3.2880962261538894e-06,-3.2880962261538894e-06,6.23018874856175,3.977135956647939,3.977135956647939,5.401318551492346e-05,-8.470055819736629e-06,-8.470055819736629e-06,,,,,,,,,,,,
CMN,2026-08-24,2026-08-24,15.2,9.828767555860155,0.08277083333333334,-0.0007500000000000007,0.0005624999999999936,0.07127083333333334,-0.0005000000000000004,-0.0003541666666666693,0.067,2.083333333333104e-05,2.083333333333104e-05,7.415844584796437,13.105724101051608,13.105724101051608,1.5213358631354758e-05,-2.2892791546346376e-06,-2.2892791546346376e-06,8.170113229513,13.7171903014499,13.7171903014499,3.9261507280735026e-05,-5.096525063611208e-06,-5.096525063611208e-06,,,,,,,,,,,,
EBX,2026-08-16,2026-08-16,25.8,13.531165248616206,0.0944375,0.07089583333333334,0.07089583333333334,0.127375,0.050125,0.050125,0.4580208333333333,-0.004270833333333279,-0.0018749999999999045,62.27378737042693,14.411684087729924,14.411684087729924,73.78243524416135,8.997711721697513,8.997711721697513,64.38388033027296,14.303938642540558,14.303938642540558,75.13463862383108,10.314334509997622,10.314334509997622,30.158381839156494,40.91492202015222,40.91492202015222,19.26481183676209,42.0058931528754,42.0058931528754,31.854171079017785,40.83653921072562,40.83653921072562,20.52641740502597,43.2658302030632,43.2658302030632
EBX,2026-08-24,2026-08-24,26.600000000000005,13.10599519376109,0.14070833333333332,0.04506250000000003,0.04506250000000003,0.166,0.07452083333333329,0.07452083333333329,0.45427083333333335,-0.0008958333333333179,6.249999999996536e-05,63.949072603549865,16.015365684764873,16.015365684764873,59.82816288942573,23.13663475305073,23.13663475305073,64.13583412339057,16.984323305093824,16.984323305093824,61.49319828309473,22.982217130240244,22.982217130240244,66.2585029198116,20.897145511496888,20.897145511496888,57.9018957162583,35.3508558760984,35.3508558760984,66.16667784807298,22.010566399796076,22.010566399796076,58.25159104854725,35.54599404698482,35.54599404698482
EBX,2026-09-09,2026-09-09,14.500000000000002,2.699573342625581,0.08075,0.06681250000000001,0.06681250000000001,0.145375,-0.00010416666666668295,6.249999999999312e-05,0.453,-0.0019166666666666776,-0.0019166666666666776,17.651328271252062,2.09613373475889,2.09613373475889,33.546404906182595,-3.574028321843784,-3.574028321843784,14.576024063646791,2.123051436171412,2.123051436171412,30.04563014084699,-3.673988267624548,-3.673988267624548,19.852999090243042,22.91485920672984,22.91485920672984,41.210322882618016,-4.390540850702564,-4.390540850702564,16.34707399059475,22.410404435546063,22.410404435546063,36.20367468969623,-4.4269957205527355,-4.4269957205527355
LCS,2026-08-06,2026-08-09,10.100000000000001,15.750069377868591,0.10183333333333333,0.015541666666666676,0.01768750000000001,0.14289583333333333,-0.035250000000000004,-0.035250000000000004,0.10085416666666665,-0.014562499999999992,-0.014562499999999992,10.548536203960944,8.413556065660737,8.413556065660737,5.186578041133116e-05,-2.7293048744242408e-05,-2.7293048744242408e-05,11.2703031339014,8.87284218284957,8.87284218284957,0.0001017100510556861,-5.1390961562040326e-05,-5.1390961562040326e-05,16.27244009735645,0.18764709531800605,0.18764709531800605,5.186578041133116e-05,-2.7293048744242408e-05,-2.7293048744242408e-05,17.361495694484574,0.25289278032661144,0.25289278032661144,0.0001017100510556861,-5.1390961562040326e-05,-5.1390961562040326e-05
LCS,2026-08-14,2026-08-14,2.0,1.813773366836643,0.11822916666666666,-0.005624999999999991,-0.005624999999999991,0.10195833333333333,-0.005333333333333329,-0.005333333333333329,0.08599999999999998,-0.0005624999999999797,-0.0005624999999999797,9.541375427068932,-0.7429363491306482,-0.7429363491306482,1.540321792843389e-05,-3.932964349079472e-06,-3.932964349079472e-06,10.15152168908811,-0.7118267465524966,-0.7118267465524966,3.15919249430601e-05,-7.64317321880711e-06,-7.64317321880711e-06,8.169005041285645,0.02138920374775033,0.02138920374775033,1.540321792843389e-05,-3.932964349079472e-06,-3.932964349079472e-06,8.762591025771425,0.04164351239002251,0.04164351239002251,3.15919249430601e-05,-7.64317321880711e-06,-7.64317321880711e-06
LCS,2026-08-20,2026-08-20,3.3,0.4893154769624265,0.11035416666666668,-0.007729166666666676,-0.007729166666666676,0.09312499999999997,-0.002125000000000002,-0.002125000000000002,0.08460416666666666,0.00014583333333333115,0.00014583333333333115,4.450092158440675,2.3528227598001292,2.3528227598001292,6.664728010773659e-06,-1.312722071573151e-06,-1.312722071573151e-06,4.740619837420863,2.289689572066009,2.289689572066009,1.3928044819566447e-05,-2.7593047225073507e-06,-2.7593047225073507e-06,3.728948163190254,4.977290218207735,4.977290218207735,6.664728010773659e-06,-1.312722071573151e-06,-1.312722071573151e-06,4.006324897268492,4.887483660284548,4.887483660284548,1.3928044819566447e-05,-2.7593047225073507e-06,-2.7593047225073507e-06
LCS,2026-08-24,2026-08-24,5.4,7.156101773495969,0.10181250000000001,-0.00039583333333334525,0.002270833333333333,0.08920833333333333,-0.0017916666666666775,-0.001291666666666691,0.08295833333333334,2.083333333333104e-05,2.083333333333104e-05,4.9368260019971535,10.588546142759082,10.588546142759082,4.32200343423666e-06,-8.228824182192682e-07,-8.228824182192682e-07,5.278719101429313,11.151643811374278,11.151643811374278,9.226569559868921e-06,-1.5510150530591368e-06,-1.5510150530591368e-06,7.148366096253892,7.060663865042749,7.060663865042749,4.32200343423666e-06,-8.228824182192682e-07,-8.228824182192682e-07,7.537028372898159,7.557742778579837,7.557742778579837,9.226569559868921e-06,-1.5510150530591368e-06,-1.5510150530591368e-06
PSN,2026-08-03,2026-08-03,21.3,5.914223009316812,0.05366666666666667,0.09216666666666667,0.09216666666666667,0.0759375,0.021979166666666647,0.021979166666666647,0.09022916666666665,0.0008333333333333387,0.002479166666666671,1.8285540103933065,7.734186180541672,7.734186180541672,0.000349505828254911,-8.099914001390786e-05,-8.099914001390786e-05,1.7776832759855499,7.929501659216258,7.929501659216258,0.0003030298658016547,-6.732652712559075e-05,-6.732652712559075e-05,,,,,,,,,,,,
PSN,2026-08-08,2026-08-08,1.0,2.0057346252141888,0.1009375,-0.016541666666666663,-0.016541666666666663,0.09547916666666667,-0.002354166666666671,-0.002354166666666671,0.09295833333333332,0.001041666666666663,0.00110416666666667,7.323826383889478,1.0265503703697414,1.0265503703697414,0.0001818469738536137,-4.268425057164519e-05,-4.268425057164519e-05,7.604064100806015,0.9147290730309319,0.9147290730309319,0.00016238953033299655,-3.8335854531933324e-05,-3.8335854531933324e-05,,,,,,,,,,,,
PSN,2026-08-14,2026-08-16,6.4,11.989127809347583,0.06989583333333334,-0.004770833333333335,-0.0039791666666666725,0.08822916666666665,-0.005479166666666646,-0.005479166666666646,0.09399999999999999,0.00020833333333335202,0.00020833333333335202,4.107994965401394,13.389420655974478,13.389420655974478,8.230064980401692e-05,-3.0151863553824724e-05,-3.0151863553824724e-05,4.109323687967269,13.599286694365599,13.599286694365599,7.242954775533177e-05,-2.6237464518730603e-05,-2.6237464518730603e-05,,,,,,,,,,,,
PSN,2026-08-20,2026-08-20,7.0,2.3965621019983123,0.06581250000000001,-0.0014375000000000082,0.001041666666666663,0.08195833333333334,-0.0012708333333333321,-0.0012708333333333321,0.09399999999999999,4.166666666666208e-05,0.0002500000000000002,12.356511878281106,1.544751466920438,1.544751466920438,4.135476210467804e-05,-6.789806631305911e-06,-6.789806631305911e-06,12.41184190971614,1.326207127683178,1.326207127683178,3.6447581639546685e-05,-6.29917081310115e-06,-6.29917081310115e-06,,,,,,,,,,,,
PSN,2026-08-24,2026-08-24,37.39999999999999,24.979698023099004,0.06685416666666667,0.10222916666666666,0.10222916666666666,0.07987500000000002,0.0838125,0.0838125,0.09412499999999997,0.007791666666666697,0.01839583333333336,10.682611751686238,38.78119472877353,38.78119472877353,2.899911768529269e-05,30.43281414345119,30.43281414345119,10.672963050198815,40.04555413629058,40.04555413629058,2.5478335597822524e-05,30.938455748362138,30.938455748362138,,,,,,,,,,,,
PSN,2026-09-09,2026-09-09,6.300000000000001,3.7786111447520216,0.06681250000000001,-0.0027916666666666645,-0.0015208333333333324,0.09683333333333333,-0.0061250000000000054,-0.0061250000000000054,0.10952083333333333,-0.0023749999999999882,-0.0023749999999999882,6.908935044897768,5.255451876467045,5.255451876467045,8.157095531332208,-1.0042110650743332,-1.0042110650743332,6.498754971217272,5.099075779017333,5.099075779017333,7.827084759229172,-1.0527522610164972,-1.0527522610164972,,,,,,,,,,,,
BDS,2026-07-25,2026-07-25,6.1,2.1037416095555006,0.09937499999999999,-0.0004166666666666624,-0.0004166666666666624,0.1770208333333333,-0.00285416666666663,-0.0020416666666666916,0.21543750000000003,4.166666666663432e-05,4.166666666663432e-05,1.7284401291927616,2.5461816798743344,2.5461816798743344,0.004978179245964524,-0.0009786383803971066,-0.0009786383803971066,2.3385454546732385,2.5234009456568076,2.5234009456568076,0.013602386962689209,-0.0024465206515398366,-0.0024465206515398366,1.6362845923107807,8.32760483217982,8.32760483217982,0.004978179245964524,-0.0009786383803971066,-0.0009786383803971066,2.2389266507287164,8.485329375720505,8.485329375720505,0.013602386962689209,-0.0024465206515398366,-0.0024465206515398366
BDS,2026-08-06,2026-08-16,91.8,66.2829804021581,0.10129166666666667,0.016541666666666677,0.018125000000000002,0.17452083333333332,0.04622916666666668,0.04622916666666668,0.21643749999999998,0.016354166666666725,0.01756250000000001,13.977448980482261,42.54245662709759,42.54245662709759,0.001108610146973588,60.47698047578628,60.47698047578628,15.614267548504394,48.673935877253875,48.673935877253875,0.0038425148730797283,74.11833642896977,74.11833642896977,6.913105895771436,61.10800037390858,61.10800037390858,0.001108610146973588,69.93880089256609,69.93880089256609,8.18344254314789,67.70108065325513,67.70108065325513,0.0038425148730797283,76.65198416447701,76.65198416447701
