code,name,forcing,et,scenario,channel,target,n,r,rho,reference_r,delta_r,change_n,change_r,reference_change_r,first30_r,last30_r,candidate_span_pp,reference_span_pp,observed_span_m3_m3,initial_dry_r,initial_wet_r,initial_dry_span_pp,initial_wet_span_pp
CMN,Camí dels Nerets,idw,hg,cascade,VWC_005,upper,60,-0.28563780210606105,-0.19216982974436195,-0.29620499703975184,0.010567194933690793,59,-0.11554190124819798,-0.10815242608562912,-0.5390069501188088,-0.19126208568584882,72.19646251518115,23.247119019555548,0.009687499999999974,-0.28563780210606105,-0.28563780210606105,72.19646251518115,72.19646251518115
CMN,Camí dels Nerets,idw,hg,cascade,VWC_005,total,60,-0.28563793311364993,-0.19216982974436195,-0.29620499703975184,0.010567063926101905,59,-0.11554183748959244,-0.10815242608562912,-0.5390067026085907,-0.19126208616366017,24.065482176868997,23.247119019555548,0.009687499999999974,-0.28563793311364993,-0.28563793311364993,24.065482176868997,24.065482176868997
CMN,Camí dels Nerets,idw,hg,cascade,VWC_020,lower,60,0.44899043849277476,-0.055493803488488695,-0.6872149102164073,1.136205348709182,59,0.09880012423760352,0.04846618276876955,0.8481335984432014,-0.4018258329445257,5.0915747842394744e-05,23.247119019555548,0.003270833333333334,0.44899043849277476,0.44899043849277476,5.0915747842394744e-05,5.0915747842394744e-05
CMN,Camí dels Nerets,idw,hg,cascade,VWC_020,total,60,-0.6901750034843218,-0.7210304051656566,-0.6872149102164073,-0.0029600932679144654,59,0.03733103701198392,0.04846618276876955,-0.815995831020699,-0.5769297975189329,24.065482176868997,23.247119019555548,0.003270833333333334,-0.6901750034843218,-0.6901750034843218,24.065482176868997,24.065482176868997
CMN,Camí dels Nerets,idw,hg,cascade,VWC_050,total,60,-0.04353863651130232,-0.10430880958174422,-0.03150292883491008,-0.01203570767639224,59,0.01189685562119458,0.020655453910312517,-0.007669032130207282,-0.16339343801082,24.065482176868997,23.247119019555548,0.0029583333333333406,-0.04353863651130232,-0.04353863651130232,24.065482176868997,24.065482176868997
CMN,Camí dels Nerets,idw,hg,surface,VWC_005,upper,60,-0.39817718257522006,-0.2753897025153804,-0.29620499703975184,-0.10197218553546822,59,-0.0844404758811343,-0.10815242608562912,-0.635976178490633,-0.31571136084067175,57.32911816485734,23.247119019555548,0.009687499999999974,-0.39817718257522006,-0.39817718257522006,57.32911816485734,57.32911816485734
CMN,Camí dels Nerets,idw,hg,surface,VWC_005,total,60,-0.3981836192041525,-0.2753897025153804,-0.29620499703975184,-0.10197862216440068,59,-0.08443956566366226,-0.10815242608562912,-0.6359727545384357,-0.31571132446788497,19.109547775376157,23.247119019555548,0.009687499999999974,-0.3981836192041525,-0.3981836192041525,19.109547775376157,19.109547775376157
CMN,Camí dels Nerets,idw,hg,surface,VWC_020,lower,60,0.40582894967735306,-0.055493803488488695,-0.6872149102164073,1.0930438598937604,59,0.11677842296571098,0.04846618276876955,0.8709674102998199,-0.41931202168096254,0.000855133363807007,23.247119019555548,0.003270833333333334,0.40582894967735306,0.40582894967735306,0.000855133363807007,0.000855133363807007
CMN,Camí dels Nerets,idw,hg,surface,VWC_020,total,60,-0.6492360595042392,-0.7448452221860046,-0.6872149102164073,0.03797885071216811,59,0.09393630610006624,0.04846618276876955,-0.7066870417845523,-0.5967106227432873,19.109547775376157,23.247119019555548,0.003270833333333334,-0.6492360595042392,-0.6492360595042392,19.109547775376157,19.109547775376157
CMN,Camí dels Nerets,idw,hg,surface,VWC_050,total,60,0.027882037125228763,-0.03742483816451113,-0.03150292883491008,0.05938496596013884,59,0.03911754151822576,0.020655453910312517,0.11456626720789545,-0.14319088907576052,19.109547775376157,23.247119019555548,0.0029583333333333406,0.027882037125228763,0.027882037125228763,19.109547775376157,19.109547775376157
CMN,Camí dels Nerets,idw,hg,surface5,VWC_005,upper,60,-0.4391419899705963,-0.35313568048309657,-0.29620499703975184,-0.14293699293084444,59,-0.03516743781119597,-0.10815242608562912,-0.6228066371572261,-0.38084358064992807,76.4480562087975,23.247119019555548,0.009687499999999974,-0.4391419899705963,-0.4391419899705963,76.4480562087975,76.4480562087975
CMN,Camí dels Nerets,idw,hg,surface5,VWC_005,total,60,-0.34370165917140516,-0.20592403242271057,-0.29620499703975184,-0.04749666213165332,59,-0.0491884574075919,-0.10815242608562912,-0.6360683941931702,-0.289949407085384,17.146346293774776,23.247119019555548,0.009687499999999974,-0.34370165917140516,-0.34370165917140516,17.146346293774776,17.146346293774776
