code,name,model,target_mode,channel,n,r,rho,change_r,change_n,span_pp,first30_r,last30_r
CDPA,Coll de Paller,simple_pm_two,depth,VWC_020,56,-0.013252585002222327,0.004171266441222816,-0.21237410847510335,55,4.115207101484006,0.058651416778496515,
CDPA,Coll de Paller,regulated_hg_one,depth,VWC_020,56,0.7570837937865083,0.8243476478928795,0.3829007349826721,55,40.95214294955611,0.835152301986304,0.8485130101705882
CDPA,Coll de Paller,regulated_hg_two,depth,VWC_020,56,0.7514591405816662,0.9255455494439084,0.4357833935077256,55,16.250721436674777,0.8913842361856295,0.8738749678829436
CDPA,Coll de Paller,regulated_pm_one,depth,VWC_020,56,0.7519114491898481,0.8240400554869495,0.3834416709524645,55,39.73690738169127,0.8209648812257189,0.8457629212322924
CDPA,Coll de Paller,regulated_pm_two,depth,VWC_020,56,0.7407628910482045,0.9255455494439084,0.4343811717697692,55,15.165523886164229,0.8815038620654602,0.8851036306737446
CDPA,Coll de Paller,simple_hg_one,total,VWC_005,56,-0.23141817713477947,-0.2191409725152798,-0.21669907340292563,55,28.874784165881245,-0.255325986262852,-0.039981964035990226
CDPA,Coll de Paller,simple_hg_two,total,VWC_005,56,-0.23838648959205172,-0.15727296759943996,-0.23026261239703502,55,28.87478403128371,-0.23203437787940834,-0.011601437757298019
CDPA,Coll de Paller,simple_pm_one,total,VWC_005,56,-0.20289878614284743,-0.21818922019165204,-0.21843880781339978,55,28.08297643732328,-0.25512116686296055,-0.03823329984121061
CDPA,Coll de Paller,simple_pm_two,total,VWC_005,56,-0.2165626494857973,-0.1463472749102982,-0.22397978454613507,55,28.0829762063761,-0.2563568926467212,0.0016740108208231248
CDPA,Coll de Paller,regulated_hg_one,total,VWC_005,56,0.049820854347815906,0.18422311889373877,-0.2161922790674096,55,40.95214294955611,0.005454428644294262,0.17367326441884684
CDPA,Coll de Paller,regulated_hg_two,total,VWC_005,56,-0.053198399514115924,0.11901018552653031,-0.23617360262068948,55,37.219275517323965,-0.053178138576879926,0.07739022964187084
CDPA,Coll de Paller,regulated_pm_one,total,VWC_005,56,0.05792479432962479,0.1938615084165652,-0.2151710623080679,55,39.73690738169127,-0.011857479517152979,0.21333901560945814
CDPA,Coll de Paller,regulated_pm_two,total,VWC_005,56,-0.0437686214760916,0.12940050614688217,-0.23533498970548591,55,36.055131729032595,-0.07614442230343971,0.11518945604533207
CDPA,Coll de Paller,simple_hg_one,total,VWC_020,56,0.2177586011356079,0.3045451294651622,0.24384339689825626,55,28.874784165881245,0.3494734027941349,0.26937851341305996
CDPA,Coll de Paller,simple_hg_two,total,VWC_020,56,0.32246764777028736,0.4424307153029984,0.25811861489627225,55,28.87478403128371,0.49888824015227845,0.33341841786686494
CDPA,Coll de Paller,simple_pm_one,total,VWC_020,56,0.1946884328318714,0.2984780194640984,0.2347614343148985,55,28.08297643732328,0.29313426938407633,0.27522070981791147
CDPA,Coll de Paller,simple_pm_two,total,VWC_020,56,0.2989199791977103,0.38691232488124416,0.25516933496124605,55,28.0829762063761,0.43702787480691235,0.35367729789754465
CDPA,Coll de Paller,regulated_hg_one,total,VWC_020,56,0.7570837937865083,0.8243476478928795,0.3829007349826721,55,40.95214294955611,0.835152301986304,0.8485130101705882
CDPA,Coll de Paller,regulated_hg_two,total,VWC_020,56,0.6763296983251642,0.7823783729504062,0.36428251632278574,55,37.219275517323965,0.7958127509873966,0.7712219656927914
CDPA,Coll de Paller,regulated_pm_one,total,VWC_020,56,0.7519114491898481,0.8240400554869495,0.3834416709524645,55,39.73690738169127,0.8209648812257189,0.8457629212322924
CDPA,Coll de Paller,regulated_pm_two,total,VWC_020,56,0.6671472828607747,0.7815239496006002,0.3626859455838659,55,36.055131729032595,0.7730756014939593,0.7660394973551178
LCDA,La Cultia d'Àreu,simple_hg_one,depth,VWC_005,60,0.5387912145543665,0.6484083567129522,0.02576446632759752,59,29.08552345906164,0.47425059530400393,0.7310086365960506
