scope,code,name,kind,profile,timing,model,n,mae_mm,bias_mm,observed_change_mm,predicted_change_mm,observed_per_day_mm,predicted_per_day_mm
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,end,regulated_hg_one,1,0.06868261001838016,-0.06868261001838016,0.6999999999999957,0.6313173899816156,0.13999999999999915,0.12626347799632312
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,end,regulated_hg_two,1,0.21088347525164386,-0.21088347525164386,0.6999999999999957,0.4891165247483519,0.13999999999999915,0.09782330494967037
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,end,regulated_pm_one,1,0.08474487513135287,0.08474487513135287,0.6999999999999957,0.7847448751313486,0.13999999999999915,0.15694897502626973
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,end,regulated_pm_two,1,0.08033776668996306,-0.08033776668996306,0.6999999999999957,0.6196622333100327,0.13999999999999915,0.12393244666200653
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,mean,regulated_hg_one,1,0.27090072331494985,0.27090072331494985,0.3604166666666657,0.6313173899816156,0.07208333333333314,0.12626347799632312
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,mean,regulated_hg_two,1,0.12869985808168616,0.12869985808168616,0.3604166666666657,0.4891165247483519,0.07208333333333314,0.09782330494967037
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,mean,regulated_pm_one,1,0.4243282084646829,0.4243282084646829,0.3604166666666657,0.7847448751313486,0.07208333333333314,0.15694897502626973
all_valid,RDS,Ribera de Sió,drying5,blocks_10_20,mean,regulated_pm_two,1,0.25924556664336695,0.25924556664336695,0.3604166666666657,0.6196622333100327,0.07208333333333314,0.12393244666200653
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,end,regulated_hg_one,14,0.3636440697040528,0.07308241778591608,-0.8026819642857141,-0.7295995464997981,-0.8026819642857141,-0.7295995464997981
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,end,regulated_hg_two,14,0.3717258263807087,0.11639732836774239,-0.8026819642857141,-0.6862846359179717,-0.8026819642857141,-0.6862846359179717
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,end,regulated_pm_one,14,0.36643957754853723,0.034910230909926,-0.8026819642857141,-0.7677717333757882,-0.8026819642857141,-0.7677717333757882
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,end,regulated_pm_two,14,0.3854309456286728,0.08367856882799465,-0.8026819642857141,-0.7190033954577195,-0.8026819642857141,-0.7190033954577195
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,mean,regulated_hg_one,14,0.3094940505507386,0.2183179993831386,-0.9479175458829366,-0.7295995464997981,-0.9479175458829366,-0.7295995464997981
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,mean,regulated_hg_two,14,0.3542003551940825,0.2616329099649649,-0.9479175458829366,-0.6862846359179717,-0.9479175458829366,-0.6862846359179717
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,mean,regulated_pm_one,14,0.3089870826236065,0.1801458125071485,-0.9479175458829366,-0.7677717333757882,-0.9479175458829366,-0.7677717333757882
all_valid,CDLP,Clot de Les Peres,daily,linear_5_20_50,mean,regulated_pm_two,14,0.3583014305146872,0.22891415042521715,-0.9479175458829366,-0.7190033954577195,-0.9479175458829366,-0.7190033954577195
all_valid,CDLP,Clot de Les Peres,daily,hold_20,end,regulated_hg_one,14,0.3871341887516745,0.12507277492877383,-0.8546723214285719,-0.7295995464997981,-0.8546723214285719,-0.7295995464997981
