observation_id,species_id,observed_at,analysis_result,flush_abundance,month,season,validation_status,calibration_use,source_quality,latitude,longitude,altitude_m,weather_method,weather_source,weather_station_code,weather_station_name,weather_station_distance_km,weather_station_coverage_days_90d,weather_summary_window_days,rain_1d_mm,rain_7d_mm,rain_14d_mm,rain_21d_mm,rain_30d_mm,rain_60d_mm,rain_90d_mm,temp_min_7d_c,temp_max_7d_c,temp_mean_7d_c,temp_min_14d_c,temp_max_14d_c,temp_mean_14d_c,temp_min_21d_c,temp_max_21d_c,temp_mean_21d_c,temp_min_30d_c,temp_max_30d_c,temp_mean_30d_c,temp_min_c,temp_max_c,temp_mean_c,humidity_min_7d_pct,humidity_max_7d_pct,humidity_mean_7d_pct,humidity_min_14d_pct,humidity_max_14d_pct,humidity_mean_14d_pct,humidity_min_21d_pct,humidity_max_21d_pct,humidity_mean_21d_pct,humidity_min_30d_pct,humidity_max_30d_pct,humidity_mean_30d_pct,humidity_min_pct,humidity_max_pct,humidity_mean_pct,wind_avg_kmh,wind_gust_kmh,wind_direction_deg,data_gaps,observed_host_ids,observed_forest_type_ids,observed_soil_tendency_ids,observed_habitat_feature_ids,observed_aspect_ids
obs_20250618_0001,boletus_pinophilus,2025-06-18,present,scarce,6,summer,valid,include,1,42.460675,1.8462861111111113,1889.9,nearest_station_single_source_daily,wunderground,IGUILS1,GUILS17528,3.01,48,7,0.0,0.0,0.51,32.0,52.33,117.36,117.36,10.89,31.78,21.29,8.11,31.78,19.96,8.11,31.78,19.18,3.22,31.78,17.32,10.89,31.78,21.29,18.0,91.0,55.71,18.0,99.0,60.04,18.0,99.0,62.57,18.0,99.0,62.6,18.0,91.0,55.71,,,,"rain_60d_coverage_48/60,rain_90d_coverage_48/90,wind_no_data_7d",host_pinus_uncinata,,,,
obs_20250611_0001,boletus_pinophilus,2025-06-11,present,very_scarce,6,summer,valid,include,1,42.401152777777774,1.2790944444444443,1723.2,nearest_station_single_source_daily,meteoclimatic,ESCAT2500000025566A,Rubió,5.39,37,7,5.8,10.4,20.5,20.5,28.9,44.4,53.6,10.0,26.3,18.27,10.0,26.3,17.09,2.4,26.3,14.2,2.4,26.3,13.06,10.0,26.3,18.27,32.0,93.0,64.17,31.0,97.0,63.07,31.0,97.0,63.36,31.0,97.0,64.57,32.0,93.0,64.17,,,,"rain_7d_coverage_3/7,rain_14d_coverage_7/14,rain_21d_coverage_11/21,rain_30d_coverage_14/30,rain_60d_coverage_21/60,rain_90d_coverage_37/90,wind_no_data_7d",host_pinus_uncinata,,,,
obs_20250530_0001,morchella_elata_complex,2025-05-30,absent,absent,5,spring,valid,include,1,42.26753611111111,1.5134027777777779,1780.2,nearest_station_single_source_daily,wunderground,ILAVAN3,Fórnols de Cadí (Cal Puchini),2.02,88,7,0.0,0.0,11.69,23.88,58.42,135.87,272.77,4.22,28.11,16.46,3.39,28.11,14.04,2.78,28.11,12.68,0.11,28.11,11.78,4.22,28.11,16.46,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,"rain_90d_coverage_88/90,wind_no_data_7d","host_pinus_uncinata,host_pinus_sylvestris",,,,
obs_20250523_0001,morchella_elata_complex,2025-05-23,present,abundant,5,spring,valid,include,1,42.268902777777775,1.5173333333333332,1809.5,nearest_station_single_source_daily,wunderground,ILAVAN3,Fórnols de Cadí (Cal Puchini),2.11,82,7,0.0,11.69,23.88,55.88,68.84,135.87,294.87,3.39,21.22,11.62,2.78,21.22,10.79,0.11,21.22,10.29,0.11,21.22,10.33,3.39,21.22,11.62,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,"rain_60d_coverage_58/60,rain_90d_coverage_82/90,wind_no_data_7d","host_pinus_uncinata,host_pinus_sylvestris",,,,
obs_20250516_0001,morchella_elata_complex,2025-05-16,present,abundant,5,spring,valid,include,1,42.26918055555556,1.51715,1802.5,nearest_station_single_source_daily,wunderground,ILAVAN3,Fórnols de Cadí (Cal Puchini),2.15,82,7,0.0,12.19,44.19,57.15,87.37,180.31,293.34,2.78,18.89,9.97,0.11,20.61,9.62,0.11,20.61,9.72,-0.5,20.61,9.23,2.78,18.89,9.97,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,"rain_60d_coverage_58/60,rain_90d_coverage_82/90,wind_no_data_7d","host_pinus_uncinata,host_pinus_sylvestris",,,,
obs_20250516_0002,morchella_elata_complex,2025-05-16,present,abundant,5,spring,valid,include,1,42.26949722222222,1.5190249999999998,1823.2,nearest_station_single_source_daily,wunderground,ILAVAN3,Fórnols de Cadí (Cal Puchini),2.17,82,7,0.0,12.19,44.19,57.15,87.37,180.31,293.34,2.78,18.89,9.97,0.11,20.61,9.62,0.11,20.61,9.72,-0.5,20.61,9.23,2.78,18.89,9.97,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,"rain_60d_coverage_58/60,rain_90d_coverage_82/90,wind_no_data_7d","host_pinus_uncinata,host_pinus_sylvestris",,,,
obs_20250429_0001,hygrophorus_marzuolus,2025-04-29,present,normal,4,spring,valid,include,1,42.34288055555556,1.926822222222222,1708.5,nearest_station_single_source_daily,meteoclimatic,ESCAT1700000017537A,La Molina,1.13,35,7,,27.7,44.7,52.9,52.9,143.9,152.5,0.0,13.3,6.92,0.0,13.3,7.04,0.0,16.4,7.48,0.0,16.4,6.54,0.0,13.3,6.92,37.0,97.0,73.5,37.0,97.0,75.2,37.0,97.0,73.86,31.0,97.0,67.91,37.0,97.0,73.5,,,,"rain_1d_coverage_0/1,rain_7d_coverage_3/7,rain_14d_coverage_5/14,rain_21d_coverage_7/21,rain_30d_coverage_11/30,rain_60d_coverage_24/60,rain_90d_coverage_35/90,wind_no_data_7d",,,,,
obs_20250507_0001,hygrophorus_marzuolus,2025-05-07,present,abundant,5,spring,valid,include,1,42.343291666666666,1.9268305555555554,1688.4,nearest_station_single_source_daily,meteoclimatic,ESCAT1700000017537A,La Molina,1.14,35,7,0.3,1.5,28.9,46.2,54.4,145.4,154.0,-1.3,13.1,5.25,-1.3,13.1,6.15,-1.3,13.3,6.53,-1.3,16.4,6.79,-1.3,13.1,5.25,40.0,96.0,67.25,40.0,97.0,72.0,37.0,97.0,72.93,37.0,97.0,70.05,40.0,96.0,67.25,,,,"rain_7d_coverage_2/7,rain_14d_coverage_4/14,rain_21d_coverage_7/21,rain_30d_coverage_10/30,rain_60d_coverage_26/60,rain_90d_coverage_35/90,wind_no_data_7d",,,,,
obs_20250423_0001,hygrophorus_marzuolus,2025-04-23,present,very_abundant,4,spring,valid,include,1,42.36761111111111,1.3193583333333334,1404.1,nearest_station_single_source_daily,wunderground,IMONTF44,Cal Peretó,5.35,80,7,1.27,65.52,126.48,132.32,138.16,272.74,326.83,0.72,17.89,9.06,0.72,19.0,10.35,0.72,21.72,11.07,0.72,21.72,10.43,0.72,17.89,9.06,29.0,96.0,68.86,29.0,96.0,70.14,24.0,96.0,65.64,24.0,96.0,65.65,29.0,96.0,68.86,,,,"rain_30d_coverage_26/30,rain_60d_coverage_50/60,rain_90d_coverage_80/90,wind_no_data_7d",,,,,
obs_20250415_0001,hygrophorus_marzuolus,2025-04-15,present,very_abundant,4,spring,valid,include,1,42.37016388888889,1.3196083333333333,1397.4,nearest_station_single_source_daily,wunderground,IMONTF44,Cal Peretó,5.45,80,7,11.43,55.63,67.31,67.31,119.88,212.56,260.81,5.39,21.72,12.7,3.5,21.72,12.03,3.5,21.72,11.33,-1.22,21.72,9.79,5.39,21.72,12.7,24.0,96.0,69.57,24.0,96.0,64.96,24.0,96.0,63.74,24.0,97.0,68.46,24.0,96.0,69.57,,,,"rain_21d_coverage_17/21,rain_30d_coverage_26/30,rain_60d_coverage_50/60,rain_90d_coverage_80/90,wind_no_data_7d",,,,,
