code,name,channel,model,n,pearson,spearman,change_r,first30_r,last30_r
PSN,Pessonada,VWC_020,idw_simple_hg,58,0.5340487982801105,0.45291379335067483,0.2503157012375463,-0.0023159437724945037,0.4922069072183701
PSN,Pessonada,VWC_020,idw_simple_pm,58,0.521302941427329,0.4035275132233826,0.2676288182597241,-0.0023159437724945033,0.48168186326397733
PSN,Pessonada,VWC_020,idw_regulated_hg,58,0.792955054308854,0.696699375557538,0.28889008167263147,0.507950662784307,0.7449966524334871
PSN,Pessonada,VWC_020,idw_regulated_pm,58,0.7839766411227378,0.6969454612568827,0.30187108195282186,0.513013668196924,0.7354004928193651
PSN,Pessonada,VWC_050,idw_simple_hg,58,0.09349961940524398,0.3005346154598583,-0.2968526119598155,0.21122670097949806,-0.22886507934621209
PSN,Pessonada,VWC_050,idw_simple_pm,58,0.07903011005461534,0.24381274127562136,-0.3007796197472601,0.21122670097949803,-0.23967082650406837
PSN,Pessonada,VWC_050,idw_regulated_hg,58,0.45668984160097265,0.6790643100818763,-0.14288807176509005,0.7113303668695248,0.04741363272148574
PSN,Pessonada,VWC_050,idw_regulated_pm,58,0.43373050107644867,0.6653635657045444,-0.15024160215125903,0.7111504615317797,0.0276878261756111
BDS,Batlliu de Sort,VWC_005,idw_simple_hg,60,0.31238703691087133,0.36406106492551893,0.1391643864707628,0.6834359595238488,0.3321047355380478
BDS,Batlliu de Sort,VWC_005,idw_simple_pm,60,0.48517387414134017,0.5632357921361784,0.16297305493552944,0.8058213235567853,0.5200437521576692
BDS,Batlliu de Sort,VWC_005,idw_regulated_hg,60,0.7644538556577247,0.818488725957371,0.23144718436139705,0.832385608929879,0.8975839727684318
BDS,Batlliu de Sort,VWC_005,idw_regulated_pm,60,0.7962622298818871,0.8279359258360248,0.2501650995768329,0.8524178436424215,0.8995851879298492
BDS,Batlliu de Sort,VWC_005,gauge_recent_simple_hg,60,0.881589012489869,0.8824927880890696,0.2712494760272712,0.8909212699749935,0.8543394938429281
BDS,Batlliu de Sort,VWC_005,gauge_recent_simple_pm,60,0.9015155943455306,0.8825777500244358,0.30288165716229426,0.9173816390233417,0.9105733048008229
BDS,Batlliu de Sort,VWC_005,gauge_recent_regulated_hg,60,0.8397163877057439,0.8720599064457375,0.23733340342047893,0.8657758380673719,0.8318505478359173
BDS,Batlliu de Sort,VWC_005,gauge_recent_regulated_pm,60,0.845685117838956,0.8810347463304588,0.2547641971681296,0.8799412994786509,0.8584561436734731
BDS,Batlliu de Sort,VWC_020,idw_simple_hg,60,0.4069526460500766,0.4003998690598914,0.2116024797323848,0.7794154021124715,0.26188917472970596
BDS,Batlliu de Sort,VWC_020,idw_simple_pm,60,0.5777643995518468,0.5705241593962925,0.25834649263638254,0.8671666269247387,0.5665281056803206
BDS,Batlliu de Sort,VWC_020,idw_regulated_hg,60,0.7811139100145046,0.7875184087065797,0.2519037573573007,0.8487162715040213,0.8516630006974786
BDS,Batlliu de Sort,VWC_020,idw_regulated_pm,60,0.8051974086812522,0.8024118483744482,0.27075426760507365,0.8603880527236273,0.8567722991739202
BDS,Batlliu de Sort,VWC_020,gauge_recent_simple_hg,60,0.8811925049350116,0.9083694964737974,0.37700803062579347,0.9227857394823975,0.8628289474445271
BDS,Batlliu de Sort,VWC_020,gauge_recent_simple_pm,60,0.8944378172675628,0.9255502874272963,0.3616529866354807,0.9360074938621434,0.8954632564527049
BDS,Batlliu de Sort,VWC_020,gauge_recent_regulated_hg,60,0.8376765735027252,0.8826585904655004,0.3520184619348925,0.8782858221477501,0.8777945562382253
BDS,Batlliu de Sort,VWC_020,gauge_recent_regulated_pm,60,0.8401512366793532,0.8996082139681119,0.3517163214502538,0.8856636090935907,0.8974446263676934
BDS,Batlliu de Sort,VWC_050,idw_simple_hg,60,0.024409352663353083,0.13427256755470257,-0.06884551940777241,0.5613395164173807,0.19128505493714898
BDS,Batlliu de Sort,VWC_050,idw_simple_pm,60,0.1831882089663076,0.3089161612582984,-0.027588897393116034,0.7166492406524001,0.3525275350566443
BDS,Batlliu de Sort,VWC_050,idw_regulated_hg,60,0.5524998951468644,0.6709828005591167,0.040222529017598214,0.7688831061679311,0.8003816261129308
BDS,Batlliu de Sort,VWC_050,idw_regulated_pm,60,0.5990268595372212,0.685765095154837,0.0694358967160281,0.7981919585661477,0.8013280610248594
BDS,Batlliu de Sort,VWC_050,gauge_recent_simple_hg,60,0.869700198037992,0.859431829737176,0.20303272886077534,0.8302779047590019,0.8781403928178652
BDS,Batlliu de Sort,VWC_050,gauge_recent_simple_pm,60,0.8516640732450826,0.8294917838152164,0.20503544879594232,0.8733328408592029,0.8871223001220118
BDS,Batlliu de Sort,VWC_050,gauge_recent_regulated_hg,60,0.8505059466220243,0.85053766461465,0.1873506972646308,0.8284018459191935,0.81823559284776
BDS,Batlliu de Sort,VWC_050,gauge_recent_regulated_pm,60,0.8410282348396473,0.8367834619363013,0.19103948200434606,0.8503635077724877,0.8152813154712784
CDPA,Coll de Paller,VWC_005,idw_simple_hg,56,-0.23141817713477947,-0.2191409725152798,-0.21669907340292563,-0.255325986262852,-0.039981964035990226
CDPA,Coll de Paller,VWC_005,idw_simple_pm,56,-0.20289878614284743,-0.21818922019165204,-0.21843880781339978,-0.25512116686296055,-0.03823329984121061
CDPA,Coll de Paller,VWC_005,idw_regulated_hg,56,0.049820854347815906,0.18422311889373877,-0.2161922790674096,0.005454428644294262,0.17367326441884684
CDPA,Coll de Paller,VWC_005,idw_regulated_pm,56,0.05792479432962479,0.1938615084165652,-0.2151710623080679,-0.011857479517152979,0.21333901560945814
CDPA,Coll de Paller,VWC_020,idw_simple_hg,56,0.2177586011356079,0.3045451294651622,0.24384339689825626,0.3494734027941349,0.26937851341305996
CDPA,Coll de Paller,VWC_020,idw_simple_pm,56,0.1946884328318714,0.2984780194640984,0.2347614343148985,0.29313426938407633,0.27522070981791147
CDPA,Coll de Paller,VWC_020,idw_regulated_hg,56,0.7570837937865083,0.8243476478928795,0.3829007349826721,0.835152301986304,0.8485130101705882
CDPA,Coll de Paller,VWC_020,idw_regulated_pm,56,0.7519114491898481,0.8240400554869495,0.3834416709524645,0.8209648812257189,0.8457629212322924
CDPA,Coll de Paller,VWC_050,idw_simple_hg,56,0.19730213136397556,0.3417805300599262,0.11524034896188437,0.32764204251047924,0.26851677324511475
CDPA,Coll de Paller,VWC_050,idw_simple_pm,56,0.17884595036129547,0.33690304947083566,0.11907844428091527,0.28035646477105164,0.27388614956589097
CDPA,Coll de Paller,VWC_050,idw_regulated_hg,56,0.7449926663445998,0.9008356261675173,0.2637653350735691,0.8516001601952843,0.7946364896395834
CDPA,Coll de Paller,VWC_050,idw_regulated_pm,56,0.7398430027255465,0.9042191426327493,0.2649865695387366,0.8403262533153837,0.7964883778064418
LCDA,La Cultia d'Àreu,VWC_005,idw_simple_hg,60,0.5387912145543665,0.6484083567129522,0.02576446632759752,0.47425059530400393,0.7310086365960506
LCDA,La Cultia d'Àreu,VWC_005,idw_simple_pm,60,0.6271086668266862,0.7898566792951777,0.08059498198782164,0.6581992573449524,0.7242590731684633
LCDA,La Cultia d'Àreu,VWC_005,idw_regulated_hg,60,0.9189835181436032,0.9236454570714089,0.2148021389463566,0.9182965784867583,0.9738771822309116
LCDA,La Cultia d'Àreu,VWC_005,idw_regulated_pm,60,0.9416682986111913,0.9396499027507642,0.2328131440599291,0.9261252374730407,0.9836944499935492
LCDA,La Cultia d'Àreu,VWC_005,gauge_recent_simple_hg,60,0.8482188107459239,0.857855788118747,0.3633370431012863,0.8708256823828922,0.888537244292015
LCDA,La Cultia d'Àreu,VWC_005,gauge_recent_simple_pm,60,0.8981477138172616,0.8972115738365868,0.37296697642956506,0.8862135472140478,0.9389774500192871
LCDA,La Cultia d'Àreu,VWC_005,gauge_recent_regulated_hg,60,0.8192172774478834,0.8476243400944709,0.3151075731202208,0.8595820445379128,0.9138472662680099
LCDA,La Cultia d'Àreu,VWC_005,gauge_recent_regulated_pm,60,0.8790975447464766,0.9030841900527927,0.32319391673103104,0.8744363700901177,0.9649507072722603
LCDA,La Cultia d'Àreu,VWC_020,idw_simple_hg,60,0.5297482652904343,0.645858443081338,0.013086677688714209,0.47555320391049927,0.6844295158529162
